uid,ds,seq
13,2020-01-06,"92,48,33,52,42,74,40,34,90,79,58,62,67,24,96,95,97,15,94,49,61,62,63,70,67,95,57,23,50,98,100,73,76,8,49,29,50,21,34,77"
13,2020-01-07,"79,18,84,63,7,58,79,69,80,60,15,68,8,73,78,74,34,40,65,94,26,76,9,62,77,65,11,41,76,57,5,95,64,85,13,66,37,62,19,74,38,88,40,30,53,76,1,33,78,7,89,93,73,45,40,33,1,9,19,10,70,39,87,23,50,10"
13,2020-01-08,"50,43,45,30,38,96,42,46,39,51,23,55,26,43,16,8,77,21,68,23,24,62,24,79,50,96,37,96,95,40,78,60,60,99,81,50,55,21,71,38,84,28,45,57,8,11,82,66,1,100,77,57,48,39,35,25,17,51,21,49,19,7,39,31,36,75,45,77,80,99,65,57,17,37,49,98,98,67,61,87,1,71,61,32,37,79,72,22,4,28,4,24,35,4,47,62,6,23,20"
13,2020-01-09,"80,2,61,16,50,24,75,33,17,63,69,80,71,61,10,69,100,63,89,39,4,42,37,33,96,93,80,58,10,80,46,92,56,2,40,98,67,59,63,16,49,6,56,28,54,3,86,79,74,49,29,68,2,59,91,35,1,52,53,16,36,22,65"
13,2020-01-10,"85,89,81,65,62,56,56,66"
14,2020-01-01,"61,62,96,4,92,25,89,100,9,72,39,94,45,85,22,24,25,73,65,74,75,100,27,82,30,92,48"
14,2020-01-02,"100,22,40,64,42,59,87,94,31,95,23,40,39,84,54,78,80,72,55,88,1,5,81,35,34,92,98,74,32"
14,2020-01-03,"97,2,43,35,54,74,59,17,17,35,92,61,27,40,32,69,47"
14,2020-01-04,"78,41,67,90,50,70,49,83,43,13"
14,2020-01-05,"78,41,83,2,81,57,98,27,59,48,5,1,65,64,26,82,8,40,64,79,53,90,35,57,44,79,76,45,65,71,57,9,36,58,65,61,37,75,27,68,31,4,63,26,9,71,70,2,51,24,50,25,76,7,96,62"
14,2020-01-06,"23,100,5,60,48,99,15,22,5,91,60,2,89,10,14,19,66,16,80,76,46,56,74,77,79,72,53,63,89,88,89,16,29,75,96,20,44,68,66,46,68,86,34,71,74,83,88,44,54,51,12,42,44,66,63,20,83,36,19,73,86,49,10,50,12,100,21,25,50,79,5,6,78,9,71,94"
14,2020-01-07,"3,28,71,39,51,35,11,35,8,87,37,55,100,22,63,66,35,61,8,3,31,84,66,45,86"
14,2020-01-08,"2,3,94,95"
14,2020-01-09,"76,92,82,11,30,67,72,38,16,29,35,20,43,16,75,43,85,78,35,29,42,88,4,44,1,97,7,82,2,42,34,73,91,26,46,32,87,36,42,40,96,18,51,80,94,53,21,84,2,17,3,39,3"
14,2020-01-10,"50,75,53,9,54,87,96,44,7,54,42,17,22,82,64,63,70,34,42,95,71,74"
15,2020-01-01,"27,47,94,78,84,39,15,98,55,93,34,80,37,74,74,32,30,20,87,12,84,99,97,11,8,30,45,48,61,82,2,22,74,52,37,28,48,30,12,30,22,16,9,92,50,66,70,29,80,59,35,72,53,94,1,75,53,19,95,20,29,10,62,86,95,89,37,42,38,76,99,30,79,33,12,2,52,68,82,100,46,12,45,84"
15,2020-01-02,"65,92,72,21,85,86,77,65,48,93,61,12,19,71,3,13,47,84,51,80,47,15,23,45,60,52,79,32,74,26,88,37,63,48,83,63,20,47,69,37,54,50,19,88,58,84,17,22,51,39,38,64,1,88,35,76,2,79,96,24,25,1,62,10,78,70,47,7,45,58,66,31,60,35,35,71,75,41,56,92,74,68,20"
15,2020-01-03,"16,11,95,92,98,22,70,59,6,78,49,40,2,40,98,97,37,91,85,77,74,74,22,53,83,5,99,13,27,99,82,55,46,76,59,27,58,26,89,59,3,96,21,8,51,76,64,15,47,100,62,29,60,16,78,6,20,97,19,95,51,68,32"
15,2020-01-04,"47,27,73,68,64,43,86,67,49,40,26,92,34,71,85,18,90,7,93,33,97,2,65,57,14,31,86,29,99,45,82,67,61,91,38,40,71,36,37,56,53,28,13,30,91,69,90,84,37,48,44,12,54,91,63,63,10,40,91,30,64,76,57,5,37,77,58,33,91,47,2,29"
15,2020-01-05,"82,34,88,49,86,72,80,84,22,30,11,68,37"
15,2020-01-06,"59,94,11,32,45,55,81,37,86,42,23,97,23,55,37,49,54,55,19,23,42,66,92,76,61,32,52,82,35,18,57,39,91,59,89,89,73,61,1,2,19,7,15,6"
15,2020-01-07,"78,51,25,40,68,11,92,57,58,73,100,94,55,83,25,14,79,93,43,7,54,25,22,23,62,28,88,23,24,30,83,57,37,73,3,83,46,37,70,52,92,73,38,28,81,6,26,93,2,37,100,50,29,67,9,7,90,29,61,54,28,44,63,58,2,53,22,74,96,18,17,97,50,74,100,81,91,41,35,82,100,31"
15,2020-01-08,"40,37,57,53,61,62,3,10,89,25,71,34"
15,2020-01-09,"46,49,47,50,47,37,13,26,65,39,32,90,90,47,8,53,77,69,60,18,96,59,85,59,68,60,70,49,11,14,78,41,19,14,31,42,87,9,88,62,44,57,86,26,2,36,37,36,74,12,94,90,49,48,54,39"
15,2020-01-10,"96,58,35,90,84,30,94,69,7,21,21,37,61,63,32,1,85,53,5,1,7,46,44,94,9,12,100,54,76,94,97,71,84,85,100,41,55,76,37,87,97,21,49,15,27,27,71,19,58,3,76,94,28,28,45,52,30,26,53,12,1,88,12,33,72,81,6,62,68,36,97,95,32,51,90,97,8,34,87,11,19,70,38,41,100,10,28,86,27,15,24,24,67"
16,2020-01-01,"33,91,11,1,66,18,2,13,12,26,88,5,54,82,17,10,42,90,88,38,34,63,57,51,89,10,14,38,16,17,25,72,43,48,89,60,46,2,42,16,45,1,37,33,41,99,93,39,24,30,65,13"
16,2020-01-02,"29,23,48,75,33,25,68,31,57,4,97,14,25,18,59,74,7,73,27,32,26,71,19,68,3,76,60,50,9,6,47,38,86,80,48,38,88,98,85,88,65,25,58,43,9,45,6,6,43,66,9,21,13,30,99,30,70,42,46,82,60,84,89,57,74,16,70,34,90,92,36,68,11,34,10,45,15,40,33,60,32,93,59,5,25,71,36,18,32,14,22,80,3,18,7"
16,2020-01-03,"4,90,29,74,58,20,80,73,35,21,26,79,69,94,20,73,78,18,11,88,47,37,93,13,14,87,36,79,12,35,63,83,1,98,24,61,66,52,49,84,76,54,4,95,87,17,60,4,25,21,60,54,7,28,3,59,14,44,60,75,26,75,62,57,51,65,80,88,4,15,5,27,68,71,99,69,81,71,36,21,54"
16,2020-01-04,"2,78,11,84,69,60,26,23,39,73,94,41,42,58,6,51,100,93,53,82,59,10,41,32,8,83,67,67,74,46,51,99,16,79,19,31,22,40,18,24,66,80,49,52,12,49,24,44,16,73,78,80,20,61,29,48,58,75,64,38,52,46,38,61,44,81,59,77,46,24,16,98,63,21,42,89,69,73,67,21,65,15,1,82,14,56,43,30"
16,2020-01-05,"98,86,12,51,97,52,67,48,68,88,81,29,48,54,59,14,11,82,6,48,17,33,23,13,47,16,75,51,83,58,47,32,78,22,27,57,28,13,34,46,95,52,66,54,8,50,83,55,52,23,94,28,34,99,22,48,2,62,5,43,70,76,30,39,38,76,96,31,72,57"
16,2020-01-06,"24,40,36,49,80,37,100,83,88,38,24,22,27,65,60,21,1,59,73,20,73,41,51,27,61,46,69,44,62,40,51,13,84,62,48,7,72,67,42,95,96,90,96,40,26,43,9,30,40,64,56,97,95,74,40,20,30,92,100,31,64,5,5,50,68"
16,2020-01-07,"40,13,51,95,58,30,47,34"
16,2020-01-08,"81,59,32,57,46,53,4,37,86,82,30,94,58,14,33,99,79,4,65,96,51,68,6,14,87,96,58,44,70,84,70,86,19,31,44,61,89,31,66,76,15,26,34,34,91,63,97,91,49,92,10,68,64,28,41,17,79,83,16,11"
16,2020-01-09,"97,95,97,41,58,2,91,48,68,89,54,83,28,6,78,88,78,24,42,17,50,85,3,38,25,24,49,96"
16,2020-01-10,"84,6,23,23,9,8,37,66,98,99,65,33,88,38,41,34,67,11,67,25,51,75,17,69,77,63,57,40,24,15,8,69,40,84,52,72,91,85,91,51,11,23,95,37,3,65,54,85,42,51,38,6,66,49,33,5,52,45,73,96,50,18,71,10,39,25"
17,2020-01-01,"89,65,63,89,57,81,20,6,92,65,91,72,70,38,100,98,86,51,44,29,14,1,64,10,17,70"
17,2020-01-02,"97,28,75,67,23,13,78,48,47,59,47,25,56"
17,2020-01-03,"88,29,1,28,16,69,80,15,93,80,75,77,96,75,46,66,28,38,74,56,99,48,72,26,40,30,93,91,90,97,88,94,73,46,14,14,47,78,22,40,32,3,75,17,87,65,94,91,78,57,19,30,100,59,69,44,64,66,39,57,51,14,85,91,11,36,87,43,43,82,63,47,10,69,81,77,49,45,45,88,37,10,3,97,18,80,23,64,85,44,9,95,2"
17,2020-01-04,"19,21,44,37,34,92,25,100,1,89,60,83,78,45,42,14,83,86,78,89,30,21,1,86,16,81,23,98,75,100,16,39,13,75"
17,2020-01-05,"99,41,80,42,17,78,92,57,52,6,37,12,91,14,34,94,20,36,24,74,4,7,87,54,55,57,70,79,12,89,34,19,95,25,77,94,88,94,54,53,27,40,32,71,21,82,78,29,67,39,20,41,90,80,26,78,72,97,93,68,31,34,7,40"
17,2020-01-06,"17,75,16,11,5,61,3,13,53,86,78,4,89,9,48,34,71,23,85,4,29,18,53,100,91,3,91,48,26,37,45,81,91,39,35,73"
17,2020-01-07,"23,88,59,63,41,100,99,64,51,54,95,50,79,49,44,6,24,81,31,32,73,81,8,15,17,33,61,84,21,54,94,81,29,53,34,74,77,42,10,78,53,76,78,63,65,32,50,79,56,56,22,44,9,6,49,32,80,3,48,41,93,10,43,65,71,18,31,75,80,24,6,50,83,86,42,27,82,82,66,45"
17,2020-01-08,"57,26,14,96,91,85,63,71,29,9,36,39,78,51,74,43,48,99,17,32,2,76,10,95,61,37,69,23,96,3,28,88,43,8,2,79,31,93,46,3,72,66,4,73,75,2,99,98,63,43,11,99,64,41,40,20,75,84,24,89,100,60,65,99,1,10,68,20,31,52,34,39,11,23,52,35,29,83,64,5,88,70,84,67,23,45,26,50,43,28,76,75,67"
17,2020-01-09,28
17,2020-01-10,"92,77,11,17,35,78,4,26,86,73,37,49,85,27,56,5,52,94,57,97,27,3,21,72,38,59,36,6,92,17,19,10,36,61,94,81,4,18,40,70,42,73,1,64,13,65,76,8,52,56,84,75,65,85,67,96,60,31,23,54,19,77,84,80,5,21"
18,2020-01-01,"55,7,90,93,27,53,57,72,62,48,54,91,1,36,53,84,48,53,28,23,37,23,43,77,95,91,92,70,74,91,21,29,25,87,8,13,96,60,17,99,30,71,65,95,8,66,10,48,46,50,49,16,33,34,98,66,10,82,48"
18,2020-01-02,"81,76,18,41,71,60,44,83,77,16,34,64,29,70,4,28,97,66,44,34,47,26,14,55,73,76,23,32,31,22,3,100,27,87,4,91,13,33,71,17,8,94,78,71,75,49,40,18,44,29,8,43,47,77,5,98,93,84,45,32,9,79,8,76,11,37,40,6,85,56,95,24,95,66,82,3,54,71,20,6"
18,2020-01-03,"74,12,34,35,98,5,48,31,88,59,59,90,37,27,15,60,16,59,80,66,47,58,87,27,15,57,22,6,82,62,31,95,58,74,43,31,60,6,30,66,38,78,45"
18,2020-01-04,"26,27,21,35,69,47,56,40,62,10,38,40,36,18,16,86,16,45,20,32,17,60,39,9,95"
18,2020-01-05,"84,57,75,89,96,56,91,22,9,30,11,87,27,46,71,48,48,40,52,53,67,36,40,59,60,16,63,79,14,88,49,74,34,62,76,52,76,44,92,1,94,17,39,24,10,26,85,12,37,76,25,68,56,34"
18,2020-01-06,"37,19,20,18,1,57,95,79,95,56,51,66,92,43,39,64,11,51,44,10,46,14,27,9,3,8,79,83,23,86,40,3,62,6,76,91,63,7,37,40,19,1,38,70,75,63,6,89,71,49,57,98,34,19,22,29,97,98,2,32,54,5,81,66"
18,2020-01-07,"89,87,77,13,81,20,15,53,12,33,62,95,35,55,33,91,91,20,40,22,70,44,19,51"
18,2020-01-08,"15,60,9,63,24,54,42,70,43,54,89,93,73,46,31,69"
18,2020-01-09,"86,40,1,81,18,39,54"
18,2020-01-10,"24,70,76,37,16,9,73,28,52,46,35,97,92,8,7,1,65,90,30,40,25,66"
19,2020-01-01,"40,49"
19,2020-01-02,"87,84,70,9,82,87,33,3,34,64,31,32,80,82,9,77,53,91,63,38,80,35,81,79,75,58,85,3,40,19,37,95,28,32,96,74,79,54,10,31,30,64,2,29,15,17,64,62,42,32,14,90,14,22,47,78,92,38,73,25,71,26,49,2,86"
19,2020-01-03,"79,95,48,54,47,2,53,2,18,39,11,56,73,34,26,50,68,11,83,47,2,60,39,9,21,79,56,13,62,44,63,17,5,100,54,78,37,97,7,64,13,50,39,22,23,97,59,83,52,79,70,36,12,93,22,31,25,60,70,49,17,52,94,27,36,7,97,72,14,70,72,36,13,19,67,74,42,98,70,39,89,95"
19,2020-01-04,"49,69,45,1,53,73,29,71,90,40,75,26,72,21,39,59,76,34,4,86,15,41,56,87,80,21,99,28,2"
19,2020-01-05,"7,14,16,66,47,36,52,14,32,39,1,66,17,69,47,39,97"
19,2020-01-06,"12,46,7,35,21,85,11,45,24,33,93,41,26,83,29,93,52,26,71,32,81,23,42,23,33"
19,2020-01-07,"38,77,99,92,91,45,35,53,16,20,100,67,5,33,38,51,46,19,11,18,11,97,86,82,73,61,64,15,3,35,78,99,79,99,58,76,64,94,50,28,4,78,6,71,60,7,77,51,75,46,40,16,69,33,32,43,24,53,68,9,33,95,54,4,56,9,2,19,17,21,45,38,35,93,94,98,80,31"
19,2020-01-08,"50,85,80,69,90,93,60,37,16,69,19,28,84,79,1,57,95,95,80,38,3,17,4,83,40,14,80,79,12,33,30,88,71,34,80,74,90,2,3,20,67,28,85,85,37,38,55,94,42,83,16,9,93,73,40,63,65,50,70,31,89,80,25,58,74,69,73,26,28,32,29,50,45,34"
19,2020-01-09,"79,3,20,99,32,51,3,80,38,64,45,44,26,5,17,81,12,75,90,48,60,97,12,94,85,32,51,3,98,58,56,76,100,7,41,64,4,62,11,80,34,33,15,26,61,55,78,19,77,72,52,60,21,72,4,35,23,68"
19,2020-01-10,"82,24,62,5,92,2,48,28,19,76,97,19,51,49,36,70,66,71,74,37,36,99,2,30,100,28,15,66,67,12,21,47,40,92,94,27,89,36,40,16,92,26,20,79,11,56,95,63,61,25,79,35,94,7,80,77,45,99,19,50,7,97,32,52,62,20,27,56,91,53,58,70,77,79,63,17,64,28,19,46,89,1,60,61,41,53,63,63,92,30,20,42,96,61,89,90,58,7,73,43"
20,2020-01-01,"28,85,47,59,12,45,89,29,59,78,19,81,72,61,4,74,93,12,18,74,30,2,5,94,89,60,53,97,6,40,75,18,98,7,11,21,28,43,72,92,71,39,95,95,17,95,71,77,20,52,50,40,33,3,21,76,63,16,59,69,2,32,72,27,87,24,25,64,39,36,95,34,3,15,49,40,93,5,95,78,63,51,88,45,54"
20,2020-01-02,"7,54,73,62,26,67,26,13,13,43,45,25,20,40,17,23,25,12,87,84,4,76,18,52,87,73,11,70,73,32,15,69,61,44,39,57,72,30,50,80,24,21,77,33,67,39,17,21,64,36,65,32,56,57,50,97,48,11,82,15,37,37,82,12,66,87,50,55,36"
20,2020-01-03,"63,7,67,43,24,66,44,58,23,92,17,50,66,64,81,80,15,92,73,44,45,58,99,32,83,43,76,64,20"
20,2020-01-04,"18,39,11,80,82,9,91,46,14,48,23,35,100,26,46,76,49,96,71,16,98,20,14,57,16,92,89,13,30,24,35,65,47,67,28,36,28,54,3,52,16,61,46,46,88,74,31,74,56,36,30,89,88,87,29,72,45,25,13,34,67,74,96,25,98,30,66,17,99,35,49,27,84,40,32,33,56,62,93,81,97,95,49,2,91,30"
20,2020-01-05,"86,9,72,14,46,89,39,31,84,34,35,73,70,62,91"
20,2020-01-06,"60,19,10,40,74,47,6,100,29,3,97,73,91,6,73,84,26,89,90,9,16,3,69,17,43,20,18,94,50,17,28,56,30,98,25,51,54,96,50,13,52,23,99,26,17,10,45,77,39,76,48,71,90,59"
20,2020-01-07,"29,18,25,86,11,9,61,98,82,65,91,52,38,3,54,18,24,51,56,67,73,16,35,7,82,78,33,2,11,47,8,40,26,14,91,23,16,33,65,55,22,13,91,71,20,49,42,60,39"
20,2020-01-08,"34,62,98,71,92,80,26,14,14,99,66,67,71,33,75,49,40,60,25,79,70,20,64,17,55,48,98,76,7,68,99,90,80,80,64,75,84,80,100,2,82,35,73,37,23,27,43,53,87,1,23,8,41,12,78,49,41,86,1,21,19,38,58,72,47,24,38,18,79,27,14,23,65,30,65,85,40,58,32,88,40,35,59,43,21,53,11,43"
20,2020-01-09,"91,13,66,91,23,1,3,91,20,39,26,4,21,15,1,60,98,70,65"
20,2020-01-10,"4,67,64,9,38,85,87,12,54,65,57,79,65,63,69,17,73,56,18,29,35,96,94,44,74,28,44,48,67,58,78,69,30,68,66,60,28,64,29,65,12,5,59,75,3,25,33,14,9,31,97,88,7"
21,2020-01-01,"86,57,5,94,24,64,14,56,40,68,24,48,77,6,59,69,16,11,34,44,35,34,4,54,48,10,31"
21,2020-01-02,"47,12,96,86,47,23,31,12,17,40,95,56,64,49,6,49,34,61,3,59,46,40,98,78,10,5,56,34,78,54,47,94,49,34,99,61,6,63,28,86,5,72,67,58,85,4,56,46,77,58,41,17,24,47,44,89,84,71,56,96"
21,2020-01-03,"56,10,94,61,10,95,27,92,82,69,68,81,42,41,15,14,19,31,91,40,21,58,18,55,8,71,85,4,62,80,76,45,59,22,9,93,46,67,25,24,31,10,67,90,92,37,56,8,6,92,94,53,12,74,64,8,64"
21,2020-01-04,"70,82,28,74,83,21,77,55,99,89,58,93,85,38,58,54,17,33,69,70,63,66,91,13,66,49,79,35,96,47,62,97,56,50,48,50,65,9,94,55,47,92,61,19,91,3,29,96,99,43,1,53,51,70,58,89,50,61,3"
21,2020-01-05,"46,63,51,42,15,84,74,29"
21,2020-01-06,"98,97,46,81,24,56,80,64,94,87,88,47,9,60,77,96,13,91,99,79,87,63,100,42,77,58,9,24,79,23,17,45,43,83,35,76,97,41,96,25,9,3,91,18,46,17,4,27,94,51,84,75,12,69,50,36,66,95,97,45,47,10,53,88,80,68,45,9,21,19,38,23,1,20,85,6,47,52,26,82,5,26,72,57,34,97,8,71,11,54,20,16,55,65"
21,2020-01-07,"2,100,21,18,19,21,16,11,57,54,77,20,41,83,91,73,100,13,55,32,84,23,64,67,12,60,66,37,14,39,2,50,13,15,18,27,33,20"
21,2020-01-08,"91,56,42,61,23,79,88,8,24,52,41,3,40,13,58,68,36,23,33,57,68,21,48,65,38,2"
21,2020-01-09,"94,74,90,23,84,85,29,24,99,33,97,29,18,50,53,89,72,1,30,61,44,38,73,17,43,84,46,66,73,42,63,90,12,90,76,21,44,72,16,75,10,96,63,8,74,7,86,57,93,52,9,78,48,26,45,74,3,85,89,100,49,47,88,94,80,71,37,96,2,13,24,37,86,97,94,26,93,10,42"
21,2020-01-10,"12,5,15,77,19,25,1,33,69,68,42,19,63,42,71,3,84,12,91,74,32,17,69,96,99,32,6,44,32,21,14,26,99"
22,2020-01-01,"61,70,16,84,73,53,83,70,50,57,4,22,53,1,60,74,29,57,71,87,60,67,15,67,73,32,44,6,49,62,39,25,7,43,21,27,16,51,48,30,80,73,34,57,79,22,21,56,8,81,43,55,10,40,40,30,15,78,54,44,11,2,41,90,8,90,91,22,41,1,69,23,56,38,70,12,5,83,66,95,93,79,95,33,7,100,50,6,87,52"
22,2020-01-02,"90,40,12,70,69,66,67,77,96,17,40,94,40,39,22"
22,2020-01-03,"84,23,17,89,46,78,40,48,9,20,43,37,13,68,95,25,52,73,34,84,73,44,22,26,11,94,58,17,88,98,68,57,48,44,65,16,32,4,4,7,36,43,58,79,49,82,67,16,66,70,56,70,9,27,75,76,68,28,89,77,98,79,49,44,87,26,55,9,84,28,73,23,71,52,77"
22,2020-01-04,"48,25,22,21,47,20,67,37,89,21,83,58,21,81,100,71,86,63,83,42,32,5,19,34,47,39,65,23,47,72,32,57,50,78,90,73,80,95,52,53,69,23,89,67,32,95,56,66,57,19,97,1,95,81,2,30,69,72,22"
22,2020-01-05,"77,43,74,9,6,53,55,42,22,92,2,22,69,52,33,9,71,69,40,14,56,52,98,77,10,72,55,94,9,59,31,57,19,63,33,30,10,61,17,81,37,26,95,55,95,40,14,75,33,83,43,19,9,62,21,30,51,89,30,41,98,57,48,70,99,90,10,3,2,7,86,22,30,5,79,96,16,24,80,24,43,86,95"
22,2020-01-06,"76,31,50,6,41,1"
22,2020-01-07,"92,83,25,93,96,21,35,88,99,10,84,79,58,68,3,44,38,84,41,26,1,71"
22,2020-01-08,"17,79,21,63,95,58,84,21,97,38,24,49,95,24,74,80,2,41,92,39,95,81,40,79,25,93,3,52,68,86,22,6,26,24,60,55,51,92,45,80,35,37,27,81,25,29,20,26,13,52,61,47,61,23,92,17,74,29"
22,2020-01-09,"99,83,85,25,23,48,77,58,79,48,100,89,44,35,40,73,35,26,76,60,93,28,56,94,78,17,57,50,95,21,25,17,7,8,53,40,33,69,20,68,93,13,46,85,18,86,34,30,8,99,9,1,95,84,69,28,85,7,47,23,59,39,39,59,28,6,18,90,26,78,86,18,14,47,25,45,86"
22,2020-01-10,"28,10,76,33,31,13,83,75,6,16,74,1,46,13,49,23,8,59,82,35,71,86,77,65,64,2,76,70,38,87,92,6,77,87,7,76,48,5,86,89,33,4,78,29,69,68,91,77,36,63,38,5,18,82,32,84,84,94,56,13,95,88,80,12,88,100,64,10,13,73,70,25,86,6,38,40,82,44,98,29,87,87,8,87,87,50,11,24,93,80,28,46,14,42"
23,2020-01-01,"19,30,47,90,4,30,14,17,46,51,5,76,65,72,17,29,86,6,28,32,100,48,73,28,37,93,35,15,67,67,74,11,39,49,100,57,42,76,47,14,15,57,19,32,95,52,16,65,8,90,81,73,75,87,91,14,82,33,69,97,57,89,71,57,75,1,78,100,63,82,79,69,29,34,39,74,73,92,52,81,29,68,20,93,30,69,21"
23,2020-01-02,"56,44,31,8,43,19,82,58,87,3,54,37,50,70,30,32,63,38,49,82,48,16,98,87,93,98,2,5,49,93,92,58,59,99,63,50,36,60,32,79,52,62,16,52,43,47,85,8,78,86,86,81,96,93,47,30,41,59,99,59,85,92,47,70,44,94,40,58,31,45,84,20,34,30,23,10,33,63,14,60,12,24,30,27,3,13"
23,2020-01-03,"45,96,47,43,59,69,6,67,39,37,36,16,84,22,24,22,31,16,43,53,74,56,50,30,76,12,22,2,64,41,51,5,76,97,1,87,74,55,97,18,86,85,52,94,64,68,6,75,69,65,75"
23,2020-01-04,"62,6,49,44,9,70,44,24,41,76,39,21,7,40,80,96,10,95,46,6,75,98,96,4,73,45,62,63,45,78,74,99,79,23,14,77,91,78,95,13,59,28,70,92,24,22,12,3,93,80,75,70,60,37,11,64,14,48,37,67"
23,2020-01-05,"100,30,33,35,30,88,50,31,52,59,25,86,61,27,47,52,66,81,12,44,84,29,22,92,20,62,64,87,2,91,43,27,38,99,77,91,40,15,81,75,86,26,96,100,25,89,88,68,99,66,97,24,17,61,29,44,94,92,34,81,36,24,97,85,57,15,37,19,19,34,94,29,7,26,41"
23,2020-01-06,"45,67,58,41,78,23,6,48,29,43,19,95,95,90,43,26,60,33,37,56,89,66,53,43,50,65,1,8,68,1,51,65,89,51,46,91,59,46,11,7,43,2,15,78,46,20,79,67,40,13,22,82,13,21,76,48,31,45,67,77,4,80,7,99"
23,2020-01-07,"77,39,45,53,84,98,92,34,85,76,60,88,45,98,76,41,74,13,43,18,23,67,100,24,6,100,88,77,11,40,85,16,34,4,88,46,86,72,5,50,65,63,13,8,41,45,36,45,4,56,16,52,79,53,26,67,18,9,73,61,100,100"
23,2020-01-08,"72,29,14,38,87,55,82,84,74,79,77,30,51,84,25,39,68,29,67,11,70,87,64,83,60,28,62,52,75,50,53,23,6,70,2,90,89,71,1,4,2,27,85,76,47,53,52,5,28,7,54,90,48,50,70,17,17,69,61,14,33,20,87,25,81,56,79,22,51"
23,2020-01-09,"51,41,58,24,56,67,57,79,39,18,77,9,100,21,24,21,54,8,70,8,89,8,12,78,59,88,98,26,78,64,77,49,83,61,7,21,60,41,13,14,81,35,52,35,65,9,82,80,79,8,82,19,55,78,98,14,47,81,70,29,1,41,28,79,11,77,94,70,46,16,34,70,81,33,91,47,63,25,16,3,36,67,67,40,78,54,82,90,15,22"
23,2020-01-10,"72,67,84,45,50,40,56,72,88,58,44,60,62,21,8,27,91,83,31,42,50,83,89,49,47,82,100,46,11,95,100,50,31,87,34,89,55,32,60,89,10,35,35,98,43,48,44,64,41,81,20,15,86,89,10,47,98,47,22,57,12,52,54,18,18,61,58"
24,2020-01-01,19
24,2020-01-02,"5,61,99,61,90,96,59,61,96,98,1,94,11,83,75,99,46,95,29,68,76,2,37,39,30,3,88,92"
24,2020-01-03,"82,51,39,45,13,45,91,91,96,71,47,98,64,100,55,50,58,54,17,28,14,98,57,80,76,45,69,2,34,74,19,12,54,6,88,19,35,56,84,42,25,20,10,13,44,100,50,68,52,13,36,80,28,57,66,2,54,43,90,77,42,20,72,91,46,66,93,26,71,2,7,10,59,8,50,78,34,62,22,70,16,29,29,67,50,26,99,79,10,2,55,3,30"
24,2020-01-04,"71,60,93,83,10,80,27,88,76,83,73,30,62,55,95,74,49,85,13,96,10,60,42,95,17,9,93,79,24,91,88,71,6,7,57,73,76,4,98,53,87,45,38,22,83,97,30,80,44,92,52,81,60,73,51,10,93,54,20,24,33,75,22,76,19,21,69,22,83,68,26,3,78,39,50,69,26,52,82,56,45,50,19,70,92,50,16,57,23"
24,2020-01-05,"50,4,48,82,87,64,24,70,28,4,51,87,17,20,59,43,94,8,29,93,88"
24,2020-01-06,"41,66,67,46,39,90,47,17,90,25,62,8,91,92,79,75,8,23,96,26,5"
24,2020-01-07,"55,46,14,96,87,87,20,23,84,42,45,24,88,5,99,44,59,71,83,3,92,72,61,3,32,52,86,25"
24,2020-01-08,"84,59,23,11,86,61,60,47,15,79,68,59,95,50,6"
24,2020-01-09,"82,27,76,10,81,96,56,88,19,7,4,15,17,46,81,92,94,87,94,26,1,34,51,61,49,87,93"
24,2020-01-10,"79,50,12,94,39,15,69,4,18,85,11,82,16,15,71,98,4"
25,2020-01-01,"23,60,20,64,70,16,70,73,4,33,81,55,15,10,67,42,40,12,67,20,100,66,23,99,65,4,21,88,95,58,42,19,88,54,87,100,48,72,22,70,1,86,56,93,49,64,32,36,66,58,2,30,23,27,95,63,98,35,18,84,30,13,26,37,49,95,78,9,72,13,91,32,16,18,42,61,79,17,11,65,9,60,54"
25,2020-01-02,"17,20,12,69,100,31,63,32,46,7,68,18,76,93,46,51,28,15,93,96,7,97,97,7,67,13,51,7,37,34,30,44,44,63,44,14,65,31,36,9,4,50,33,69,40,88,47,64"
25,2020-01-03,"51,27,80,88,96,94,100,58,21,41,48,64,74,4,71,21,94,2,99,9,1,37,8,29,40,10,60,80,39,68,72,40,73,39,39,60,90,66,20,94,44,56,87,1,36,60,42,48,34,17,44,66,68,47,16,94,41,12,78,57,2,53,97,64,91,33,47,53,26,21,66,85"
25,2020-01-04,"46,54,33,74,95,43,87,66,99,96,38,66,39,11,82,24,60,6,56,17,30,93,70,39,57,48,15,29,95,36,87,5,79,21,23,7,1,88"
25,2020-01-05,"95,35,63,9,20,27,9,55,75,63,57,50,75,70,23,11,97,9,25,25,62,76,24,40,31,25,35,48,12,96,27,66,52,45,97,50,73,13,54,69,11,74,6,83,86,57,13,9,60,55,34,18,14,48,75,71,73,63,27,70,12,88,11,17,98,96,51,4,65,95,84,84,58,2,37,62,69"
25,2020-01-06,"14,62,39,3,86,29,4,46,22,45,87,15,48,9,26,41,9,75,26,4,34,90,40"
25,2020-01-07,"17,80,12,36,69"
25,2020-01-08,"61,54,53,97,3,66,97,8,43,94,39,54,12,25,61,9,53,69,44,48,90,95,11,60,55,22,25,82,3,24,59,86,24,25,32,61,57,10,98,74,52,1,65,33,6,1,68,85,77,74,67,3,16,62,52,94,14,90,94,91,16,6,74,76,48,14,31,65,72,35,58,83,4,74,97,79,30"
